Time,"Points:0","Points:1","Points:2","contact_pressure","disp:0","disp:1","disp:2","ids","nodal_area_dummy_name","penetration"
1.2,-0.5,-0.5,0.5,0,0,0,0,1,0,0
1.2,-0.5,-0.5,0.3,0,0,0,0,2,0,0
1.2,-0.5,-0.3,0.3,0,-4.1649e-08,-5.799e-08,1.8528e-08,3,0,0
1.2,-0.5,-0.3,0.5,0,-4.0688e-08,-6.6387e-08,4.069e-08,4,0,0
1.2,-0.3,-0.5,0.5,0,0,0,0,5,0,0
1.2,-0.3,-0.5,0.3,0,0,0,0,6,0,0
1.2,-0.3,-0.3,0.3,0,-1.8427e-08,-4.923e-08,1.8427e-08,7,0,0
1.2,-0.3,-0.3,0.5,0,-1.8526e-08,-5.7991e-08,4.1649e-08,8,0,0
1.2,-0.5,-0.5,0.1,0,0,0,0,9,0,0
1.2,-0.5,-0.3,0.1,0,-4.3597e-08,-5.9162e-08,5.6949e-09,10,0,0
1.2,-0.3,-0.5,0.1,0,0,0,0,11,0,0
1.2,-0.3,-0.3,0.1,0,-1.9483e-08,-5.0069e-08,5.4202e-09,12,0,0
1.2,-0.5,-0.5,-0.1,0,0,0,0,13,0,0
1.2,-0.5,-0.3,-0.1,0,-4.3597e-08,-5.9163e-08,-5.6943e-09,14,0,0
1.2,-0.3,-0.5,-0.1,0,0,0,0,15,0,0
1.2,-0.3,-0.3,-0.1,0,-1.9483e-08,-5.0069e-08,-5.421e-09,16,0,0
1.2,-0.5,-0.5,-0.3,0,0,0,0,17,0,0
1.2,-0.5,-0.3,-0.3,0,-4.1651e-08,-5.7993e-08,-1.8528e-08,18,0,0
1.2,-0.3,-0.5,-0.3,0,0,0,0,19,0,0
1.2,-0.3,-0.3,-0.3,0,-1.8428e-08,-4.9232e-08,-1.8429e-08,20,0,0
1.2,-0.5,-0.5,-0.5,0,0,0,0,21,0,0
1.2,-0.5,-0.3,-0.5,0,-4.0691e-08,-6.6391e-08,-4.0692e-08,22,0,0
1.2,-0.3,-0.5,-0.5,0,0,0,0,23,0,0
1.2,-0.3,-0.3,-0.5,0,-1.8528e-08,-5.7994e-08,-4.1652e-08,24,0,0
1.2,-0.5,-0.1,0.3,0,-3.5226e-08,-1.0415e-07,2.3754e-08,25,0,0
1.2,-0.5,-0.1,0.5,0,-3.4183e-08,-1.0203e-07,3.419e-08,26,0,0
1.2,-0.3,-0.1,0.3,0,-2.3614e-08,-1.0654e-07,2.3615e-08,27,0,0
1.2,-0.3,-0.1,0.5,0,-2.3748e-08,-1.0415e-07,3.5227e-08,28,0,0
1.2,-0.5,-0.1,0.1,0,-3.8163e-08,-1.0255e-07,7.6481e-09,29,0,0
1.2,-0.3,-0.1,0.1,0,-2.4872e-08,-1.0502e-07,7.2566e-09,30,0,0
1.2,-0.5,-0.1,-0.1,0,-3.8164e-08,-1.0255e-07,-7.6493e-09,31,0,0
1.2,-0.3,-0.1,-0.1,0,-2.4873e-08,-1.0502e-07,-7.26e-09,32,0,0
1.2,-0.5,-0.1,-0.3,0,-3.5229e-08,-1.0416e-07,-2.3755e-08,33,0,0
1.2,-0.3,-0.1,-0.3,0,-2.3616e-08,-1.0654e-07,-2.3619e-08,34,0,0
1.2,-0.5,-0.1,-0.5,0,-3.4189e-08,-1.0204e-07,-3.4191e-08,35,0,0
1.2,-0.3,-0.1,-0.5,0,-2.3753e-08,-1.0416e-07,-3.5231e-08,36,0,0
1.2,-0.5,0.1,0.3,0,-2.6642e-08,-1.3642e-07,1.6763e-08,37,0,0
1.2,-0.5,0.1,0.5,0,-2.6659e-08,-1.2932e-07,2.6674e-08,38,0,0
1.2,-0.3,0.1,0.3,0,-1.679e-08,-1.4387e-07,1.6793e-08,39,0,0
1.2,-0.3,0.1,0.5,0,-1.6754e-08,-1.3642e-07,2.6646e-08,40,0,0
1.2,-0.5,0.1,0.1,0,-2.739e-08,-1.3796e-07,6.2319e-09,41,0,0
1.2,-0.3,0.1,0.1,0,-1.7376e-08,-1.4574e-07,6.1287e-09,42,0,0
1.2,-0.5,0.1,-0.1,0,-2.7391e-08,-1.3796e-07,-6.2367e-09,43,0,0
1.2,-0.3,0.1,-0.1,0,-1.7376e-08,-1.4574e-07,-6.1387e-09,44,0,0
1.2,-0.5,0.1,-0.3,0,-2.6648e-08,-1.3643e-07,-1.6766e-08,45,0,0
1.2,-0.3,0.1,-0.3,0,-1.6795e-08,-1.4387e-07,-1.6799e-08,46,0,0
1.2,-0.5,0.1,-0.5,0,-2.6672e-08,-1.2934e-07,-2.6676e-08,47,0,0
1.2,-0.3,0.1,-0.5,0,-1.6762e-08,-1.3643e-07,-2.6652e-08,48,0,0
1.2,-0.5,0.3,0.3,0,-1.3989e-08,-1.5759e-07,9.2346e-09,49,0,0
1.2,-0.5,0.3,0.5,0,-1.38e-08,-1.4855e-07,1.3826e-08,50,0,0
1.2,-0.3,0.3,0.3,0,-9.1612e-09,-1.6672e-07,9.1507e-09,51,0,0
1.2,-0.3,0.3,0.5,0,-9.2028e-09,-1.5757e-07,1.398e-08,52,0,0
1.2,-0.5,0.3,0.1,0,-1.4217e-08,-1.6117e-07,3.1425e-09,53,0,0
1.2,-0.3,0.3,0.1,0,-9.2582e-09,-1.7047e-07,3.0992e-09,54,0,0
1.2,-0.5,0.3,-0.1,0,-1.4216e-08,-1.6117e-07,-3.1532e-09,55,0,0
1.2,-0.3,0.3,-0.1,0,-9.2554e-09,-1.7047e-07,-3.1162e-09,56,0,0
1.2,-0.5,0.3,-0.3,0,-1.3996e-08,-1.576e-07,-9.2387e-09,57,0,0
1.2,-0.3,0.3,-0.3,0,-9.1614e-09,-1.6673e-07,-9.1677e-09,58,0,0
1.2,-0.5,0.3,-0.5,0,-1.3822e-08,-1.4857e-07,-1.3829e-08,59,0,0
1.2,-0.3,0.3,-0.5,0,-9.2309e-09,-1.576e-07,-1.4002e-08,60,0,0
1.2,-0.5,0.5,0.3,0,-1.5498e-09,-1.6546e-07,1.0654e-09,61,0,0
1.2,-0.5,0.5,0.5,0,-1.6072e-09,-1.5575e-07,1.5946e-09,62,0,0
1.2,-0.3,0.5,0.3,0,-1.0903e-09,-1.7524e-07,1.0788e-09,63,0,0
1.2,-0.3,0.5,0.5,0,-1.079e-09,-1.654e-07,1.5387e-09,64,0,0
1.2,-0.5,0.5,0.1,0,-1.5478e-09,-1.6997e-07,4.6044e-10,65,0,0
1.2,-0.3,0.5,0.1,0,-1.0969e-09,-1.798e-07,4.5238e-10,66,0,0
1.2,-0.5,0.5,-0.1,0,-1.5462e-09,-1.6997e-07,-4.7836e-10,67,0,0
1.2,-0.3,0.5,-0.1,0,-1.0952e-09,-1.798e-07,-4.6722e-10,68,0,0
1.2,-0.5,0.5,-0.3,0,-1.545e-09,-1.6546e-07,-1.0828e-09,69,0,0
1.2,-0.3,0.5,-0.3,0,-1.085e-09,-1.7525e-07,-1.0934e-09,70,0,0
1.2,-0.5,0.5,-0.5,0,-1.6002e-09,-1.5574e-07,-1.6114e-09,71,0,0
1.2,-0.3,0.5,-0.5,0,-1.0711e-09,-1.6547e-07,-1.5534e-09,72,0,0
1.2,-0.1,-0.5,0.5,0,0,0,0,73,0,0
1.2,-0.1,-0.5,0.3,0,0,0,0,74,0,0
1.2,-0.1,-0.3,0.3,0,-5.4199e-09,-5.0068e-08,1.9483e-08,75,0,0
1.2,-0.1,-0.3,0.5,0,-5.6926e-09,-5.916e-08,4.3595e-08,76,0,0
1.2,-0.1,-0.5,0.1,0,0,0,0,77,0,0
1.2,-0.1,-0.3,0.1,0,-5.7447e-09,-5.1356e-08,5.7432e-09,78,0,0
1.2,-0.1,-0.5,-0.1,0,0,0,0,79,0,0
1.2,-0.1,-0.3,-0.1,0,-5.7448e-09,-5.1355e-08,-5.7456e-09,80,0,0
1.2,-0.1,-0.5,-0.3,0,0,0,0,81,0,0
1.2,-0.1,-0.3,-0.3,0,-5.4206e-09,-5.007e-08,-1.9484e-08,82,0,0
1.2,-0.1,-0.5,-0.5,0,0,0,0,83,0,0
1.2,-0.1,-0.3,-0.5,0,-5.6943e-09,-5.9164e-08,-4.3599e-08,84,0,0
1.2,-0.1,-0.1,0.3,0,-7.2567e-09,-1.0502e-07,2.4867e-08,85,0,0
1.2,-0.1,-0.1,0.5,0,-7.6475e-09,-1.0255e-07,3.8164e-08,86,0,0
1.2,-0.1,-0.1,0.1,0,-7.6331e-09,-1.0326e-07,7.6324e-09,87,0,0
1.2,-0.1,-0.1,-0.1,0,-7.6337e-09,-1.0326e-07,-7.6373e-09,88,0,0
1.2,-0.1,-0.1,-0.3,0,-7.2576e-09,-1.0502e-07,-2.4876e-08,89,0,0
1.2,-0.1,-0.1,-0.5,0,-7.6481e-09,-1.0255e-07,-3.8167e-08,90,0,0
1.2,-0.1,0.1,0.3,0,-6.1304e-09,-1.4573e-07,1.738e-08,91,0,0
1.2,-0.1,0.1,0.5,0,-6.2207e-09,-1.3795e-07,2.7371e-08,92,0,0
1.2,-0.1,0.1,0.1,0,-6.3501e-09,-1.4724e-07,6.3407e-09,93,0,0
1.2,-0.1,0.1,-0.1,0,-6.3505e-09,-1.4723e-07,-6.3571e-09,94,0,0
1.2,-0.1,0.1,-0.3,0,-6.1333e-09,-1.4574e-07,-1.7379e-08,95,0,0
1.2,-0.1,0.1,-0.5,0,-6.2322e-09,-1.3796e-07,-2.7394e-08,96,0,0
1.2,-0.1,0.3,0.3,0,-3.1054e-09,-1.705e-07,9.2115e-09,97,0,0
1.2,-0.1,0.3,0.5,0,-3.1733e-09,-1.6113e-07,1.4272e-08,98,0,0
1.2,-0.1,0.3,0.1,0,-3.1582e-09,-1.7424e-07,3.1444e-09,99,0,0
1.2,-0.1,0.3,-0.1,0,-3.159e-09,-1.7424e-07,-3.1654e-09,100,0,0
1.2,-0.1,0.3,-0.3,0,-3.109e-09,-1.7047e-07,-9.2599e-09,101,0,0
1.2,-0.1,0.3,-0.5,0,-3.1446e-09,-1.6117e-07,-1.422e-08,102,0,0
1.2,-0.1,0.5,0.3,0,-4.6418e-10,-1.7984e-07,1.0885e-09,103,0,0
1.2,-0.1,0.5,0.5,0,-2.5252e-10,-1.6983e-07,1.0826e-09,104,0,0
1.2,-0.1,0.5,0.1,0,-4.592e-10,-1.8436e-07,4.5105e-10,105,0,0
1.2,-0.1,0.5,-0.1,0,-4.572e-10,-1.8437e-07,-4.6225e-10,106,0,0
1.2,-0.1,0.5,-0.3,0,-4.5836e-10,-1.798e-07,-1.0999e-09,107,0,0
1.2,-0.1,0.5,-0.5,0,-4.6603e-10,-1.6997e-07,-1.5509e-09,108,0,0
1.2,0.1,-0.5,0.5,0,0,0,0,109,0,0
1.2,0.1,-0.5,0.3,0,0,0,0,110,0,0
1.2,0.1,-0.3,0.3,0,5.4209e-09,-5.0069e-08,1.9482e-08,111,0,0
1.2,0.1,-0.3,0.5,0,5.6942e-09,-5.9161e-08,4.3595e-08,112,0,0
1.2,0.1,-0.5,0.1,0,0,0,0,113,0,0
1.2,0.1,-0.3,0.1,0,5.7453e-09,-5.1356e-08,5.7429e-09,114,0,0
1.2,0.1,-0.5,-0.1,0,0,0,0,115,0,0
1.2,0.1,-0.3,-0.1,0,5.745e-09,-5.1356e-08,-5.7462e-09,116,0,0
1.2,0.1,-0.5,-0.3,0,0,0,0,117,0,0
1.2,0.1,-0.3,-0.3,0,5.4206e-09,-5.007e-08,-1.9485e-08,118,0,0
1.2,0.1,-0.5,-0.5,0,0,0,0,119,0,0
1.2,0.1,-0.3,-0.5,0,5.6941e-09,-5.9164e-08,-4.3599e-08,120,0,0
1.2,0.1,-0.1,0.3,0,7.2599e-09,-1.0502e-07,2.4868e-08,121,0,0
1.2,0.1,-0.1,0.5,0,7.6531e-09,-1.0255e-07,3.8162e-08,122,0,0
1.2,0.1,-0.1,0.1,0,7.6344e-09,-1.0326e-07,7.6307e-09,123,0,0
1.2,0.1,-0.1,-0.1,0,7.6346e-09,-1.0326e-07,-7.6378e-09,124,0,0
1.2,0.1,-0.1,-0.3,0,7.2581e-09,-1.0502e-07,-2.4876e-08,125,0,0
1.2,0.1,-0.1,-0.5,0,7.6482e-09,-1.0255e-07,-3.8167e-08,126,0,0
1.2,0.1,0.1,0.3,0,6.1329e-09,-1.4574e-07,1.7372e-08,127,0,0
1.2,0.1,0.1,0.5,0,6.2256e-09,-1.3795e-07,2.7378e-08,128,0,0
1.2,0.1,0.1,0.1,0,6.3547e-09,-1.4723e-07,6.3414e-09,129,0,0
1.2,0.1,0.1,-0.1,0,6.352e-09,-1.4723e-07,-6.357e-09,130,0,0
1.2,0.1,0.1,-0.3,0,6.1345e-09,-1.4574e-07,-1.7379e-08,131,0,0
1.2,0.1,0.1,-0.5,0,6.2336e-09,-1.3796e-07,-2.7393e-08,132,0,0
1.2,0.1,0.3,0.3,0,3.1302e-09,-1.7049e-07,9.2288e-09,133,0,0
1.2,0.1,0.3,0.5,0,3.1732e-09,-1.6119e-07,1.421e-08,134,0,0
1.2,0.1,0.3,0.1,0,3.1611e-09,-1.7424e-07,3.1468e-09,135,0,0
1.2,0.1,0.3,-0.1,0,3.1596e-09,-1.7424e-07,-3.1648e-09,136,0,0
1.2,0.1,0.3,-0.3,0,3.111e-09,-1.7047e-07,-9.259e-09,137,0,0
1.2,0.1,0.3,-0.5,0,3.1483e-09,-1.6117e-07,-1.4219e-08,138,0,0
1.2,0.1,0.5,0.3,0,4.5551e-10,-1.7979e-07,1.0903e-09,139,0,0
1.2,0.1,0.5,0.5,0,4.6305e-10,-1.6994e-07,1.5412e-09,140,0,0
1.2,0.1,0.5,0.1,0,4.5428e-10,-1.8437e-07,4.5289e-10,141,0,0
1.2,0.1,0.5,-0.1,0,4.5638e-10,-1.8437e-07,-4.603e-10,142,0,0
1.2,0.1,0.5,-0.3,0,4.615e-10,-1.798e-07,-1.0979e-09,143,0,0
1.2,0.1,0.5,-0.5,0,4.7308e-10,-1.6997e-07,-1.549e-09,144,0,0
1.2,0.3,-0.5,0.5,0,0,0,0,145,0,0
1.2,0.3,-0.5,0.3,0,0,0,0,146,0,0
1.2,0.3,-0.3,0.3,0,1.8428e-08,-4.9232e-08,1.8425e-08,147,0,0
1.2,0.3,-0.3,0.5,0,1.8529e-08,-5.7992e-08,4.1649e-08,148,0,0
1.2,0.3,-0.5,0.1,0,0,0,0,149,0,0
1.2,0.3,-0.3,0.1,0,1.9484e-08,-5.007e-08,5.4185e-09,150,0,0
1.2,0.3,-0.5,-0.1,0,0,0,0,151,0,0
1.2,0.3,-0.3,-0.1,0,1.9484e-08,-5.007e-08,-5.4226e-09,152,0,0
1.2,0.3,-0.5,-0.3,0,0,0,0,153,0,0
1.2,0.3,-0.3,-0.3,0,1.8428e-08,-4.9232e-08,-1.843e-08,154,0,0
1.2,0.3,-0.5,-0.5,0,0,0,0,155,0,0
1.2,0.3,-0.3,-0.5,0,1.8528e-08,-5.7994e-08,-4.1653e-08,156,0,0
1.2,0.3,-0.1,0.3,0,2.3618e-08,-1.0654e-07,2.3612e-08,157,0,0
1.2,0.3,-0.1,0.5,0,2.3753e-08,-1.0415e-07,3.5223e-08,158,0,0
1.2,0.3,-0.1,0.1,0,2.4875e-08,-1.0502e-07,7.2533e-09,159,0,0
1.2,0.3,-0.1,-0.1,0,2.4874e-08,-1.0502e-07,-7.2618e-09,160,0,0
1.2,0.3,-0.1,-0.3,0,2.3617e-08,-1.0654e-07,-2.362e-08,161,0,0
1.2,0.3,-0.1,-0.5,0,2.3752e-08,-1.0416e-07,-3.5232e-08,162,0,0
1.2,0.3,0.1,0.3,0,1.6802e-08,-1.4387e-07,1.6787e-08,163,0,0
1.2,0.3,0.1,0.5,0,1.6769e-08,-1.3644e-07,2.6645e-08,164,0,0
1.2,0.3,0.1,0.1,0,1.7379e-08,-1.4574e-07,6.1275e-09,165,0,0
1.2,0.3,0.1,-0.1,0,1.7377e-08,-1.4574e-07,-6.139e-09,166,0,0
1.2,0.3,0.1,-0.3,0,1.6796e-08,-1.4387e-07,-1.6799e-08,167,0,0
1.2,0.3,0.1,-0.5,0,1.6762e-08,-1.3643e-07,-2.6652e-08,168,0,0
1.2,0.3,0.3,0.3,0,9.1659e-09,-1.6672e-07,9.1574e-09,169,0,0
1.2,0.3,0.3,0.5,0,9.2342e-09,-1.5759e-07,1.3986e-08,170,0,0
1.2,0.3,0.3,0.1,0,9.2588e-09,-1.7047e-07,3.1031e-09,171,0,0
1.2,0.3,0.3,-0.1,0,9.2561e-09,-1.7047e-07,-3.1143e-09,172,0,0
1.2,0.3,0.3,-0.3,0,9.1634e-09,-1.6673e-07,-9.1652e-09,173,0,0
1.2,0.3,0.3,-0.5,0,9.2344e-09,-1.5759e-07,-1.4e-08,174,0,0
1.2,0.3,0.5,0.3,0,1.0818e-09,-1.7525e-07,1.0841e-09,175,0,0
1.2,0.3,0.5,0.5,0,1.0671e-09,-1.6547e-07,1.544e-09,176,0,0
1.2,0.3,0.5,0.1,0,1.0922e-09,-1.798e-07,4.5814e-10,177,0,0
1.2,0.3,0.5,-0.1,0,1.0943e-09,-1.798e-07,-4.614e-10,178,0,0
1.2,0.3,0.5,-0.3,0,1.088e-09,-1.7525e-07,-1.0876e-09,179,0,0
1.2,0.3,0.5,-0.5,0,1.0778e-09,-1.6546e-07,-1.5475e-09,180,0,0
1.2,0.5,-0.5,0.5,0,0,0,0,181,0,0
1.2,0.5,-0.5,0.3,0,0,0,0,182,0,0
1.2,0.5,-0.3,0.3,0,4.1651e-08,-5.7994e-08,1.8526e-08,183,0,0
1.2,0.5,-0.3,0.5,0,4.0691e-08,-6.639e-08,4.0688e-08,184,0,0
1.2,0.5,-0.5,0.1,0,0,0,0,185,0,0
1.2,0.5,-0.3,0.1,0,4.3599e-08,-5.9164e-08,5.6919e-09,186,0,0
1.2,0.5,-0.5,-0.1,0,0,0,0,187,0,0
1.2,0.5,-0.3,-0.1,0,4.3598e-08,-5.9164e-08,-5.6968e-09,188,0,0
1.2,0.5,-0.5,-0.3,0,0,0,0,189,0,0
1.2,0.5,-0.3,-0.3,0,4.1651e-08,-5.7993e-08,-1.853e-08,190,0,0
1.2,0.5,-0.5,-0.5,0,0,0,0,191,0,0
1.2,0.5,-0.3,-0.5,0,4.0691e-08,-6.6391e-08,-4.0694e-08,192,0,0
1.2,0.5,-0.1,0.3,0,3.5233e-08,-1.0416e-07,2.3747e-08,193,0,0
1.2,0.5,-0.1,0.5,0,3.4192e-08,-1.0204e-07,3.4185e-08,194,0,0
1.2,0.5,-0.1,0.1,0,3.8166e-08,-1.0255e-07,7.6432e-09,195,0,0
1.2,0.5,-0.1,-0.1,0,3.8165e-08,-1.0255e-07,-7.6526e-09,196,0,0
1.2,0.5,-0.1,-0.3,0,3.5229e-08,-1.0416e-07,-2.3757e-08,197,0,0
1.2,0.5,-0.1,-0.5,0,3.4188e-08,-1.0204e-07,-3.4193e-08,198,0,0
1.2,0.5,0.1,0.3,0,2.6651e-08,-1.3643e-07,1.6757e-08,199,0,0
1.2,0.5,0.1,0.5,0,2.6676e-08,-1.2934e-07,2.6664e-08,200,0,0
1.2,0.5,0.1,0.1,0,2.7394e-08,-1.3796e-07,6.2269e-09,201,0,0
1.2,0.5,0.1,-0.1,0,2.7392e-08,-1.3796e-07,-6.238e-09,202,0,0
1.2,0.5,0.1,-0.3,0,2.6649e-08,-1.3643e-07,-1.6767e-08,203,0,0
1.2,0.5,0.1,-0.5,0,2.6673e-08,-1.2934e-07,-2.6677e-08,204,0,0
1.2,0.5,0.3,0.3,0,1.3999e-08,-1.5759e-07,9.2267e-09,205,0,0
1.2,0.5,0.3,0.5,0,1.3824e-08,-1.4857e-07,1.3821e-08,206,0,0
1.2,0.5,0.3,0.1,0,1.4216e-08,-1.6116e-07,3.1428e-09,207,0,0
1.2,0.5,0.3,-0.1,0,1.4217e-08,-1.6117e-07,-3.1498e-09,208,0,0
1.2,0.5,0.3,-0.3,0,1.3998e-08,-1.576e-07,-9.2351e-09,209,0,0
1.2,0.5,0.3,-0.5,0,1.3825e-08,-1.4857e-07,-1.3825e-08,210,0,0
1.2,0.5,0.5,0.3,0,1.5417e-09,-1.6546e-07,1.0742e-09,211,0,0
1.2,0.5,0.5,0.5,0,1.5957e-09,-1.5573e-07,1.6031e-09,212,0,0
1.2,0.5,0.5,0.1,0,1.5433e-09,-1.6996e-07,4.6982e-10,213,0,0
1.2,0.5,0.5,-0.1,0,1.5452e-09,-1.6997e-07,-4.6882e-10,214,0,0
1.2,0.5,0.5,-0.3,0,1.5481e-09,-1.6546e-07,-1.0732e-09,215,0,0
1.2,0.5,0.5,-0.5,0,1.6068e-09,-1.5574e-07,-1.602e-09,216,0,0
1.2,-0.5,0.5,0.5,1007.4,-1.6072e-09,-1.5575e-07,1.5945e-09,217,0.01,0
1.2,-0.5,0.5,0.3,1179.9,-1.5498e-09,-1.6546e-07,1.0654e-09,218,0.02,0
1.2,-0.5,0.7,0.3,0,1.0972e-08,-1.595e-07,-6.6528e-09,219,0,0
1.2,-0.5,0.7,0.5,0,1.0969e-08,-1.4972e-07,-1.1023e-08,220,0,0
1.2,-0.3,0.5,0.5,1179.7,-1.0789e-09,-1.6539e-07,1.5387e-09,221,0.02,0
1.2,-0.3,0.5,0.3,1298.4,-1.0902e-09,-1.7524e-07,1.0787e-09,222,0.04,0
1.2,-0.3,0.7,0.3,0,6.6309e-09,-1.6928e-07,-6.6438e-09,223,0,0
1.2,-0.3,0.7,0.5,0,6.5925e-09,-1.5947e-07,-1.0986e-08,224,0,0
1.2,-0.5,0.5,0.1,1447.2,-1.5477e-09,-1.6997e-07,4.6053e-10,225,0.02,0
1.2,-0.5,0.7,0.1,0,1.1003e-08,-1.6415e-07,-2.2608e-09,226,0,0
1.2,-0.3,0.5,0.1,1540.4,-1.0968e-09,-1.798e-07,4.5243e-10,227,0.04,0
1.2,-0.3,0.7,0.1,0,6.6518e-09,-1.7398e-07,-2.2442e-09,228,0,0
1.2,-0.5,0.5,-0.1,1447.2,-1.5461e-09,-1.6997e-07,-4.7833e-10,229,0.02,0
1.2,-0.5,0.7,-0.1,0,1.1006e-08,-1.6415e-07,2.2348e-09,230,0,0
1.2,-0.3,0.5,-0.1,1540.3,-1.0951e-09,-1.798e-07,-4.6723e-10,231,0.04,0
1.2,-0.3,0.7,-0.1,0,6.6527e-09,-1.7398e-07,2.231e-09,232,0,0
1.2,-0.5,0.5,-0.3,1179.9,-1.545e-09,-1.6546e-07,-1.0828e-09,233,0.02,0
1.2,-0.5,0.7,-0.3,0,1.0989e-08,-1.595e-07,6.621e-09,234,0,0
1.2,-0.3,0.5,-0.3,1298.5,-1.0849e-09,-1.7525e-07,-1.0935e-09,235,0.04,0
1.2,-0.3,0.7,-0.3,0,6.6421e-09,-1.6929e-07,6.6308e-09,236,0,0
1.2,-0.5,0.5,-0.5,1007.7,-1.6003e-09,-1.5574e-07,-1.6114e-09,237,0.01,0
1.2,-0.5,0.7,-0.5,0,1.1008e-08,-1.4974e-07,1.0991e-08,238,0,0
1.2,-0.3,0.5,-0.5,1180,-1.071e-09,-1.6547e-07,-1.5534e-09,239,0.02,0
1.2,-0.3,0.7,-0.5,0,6.6377e-09,-1.5951e-07,1.0978e-08,240,0,0
1.2,-0.5,0.9,0.3,0,2.3429e-08,-1.3936e-07,-1.4435e-08,241,0,0
1.2,-0.5,0.9,0.5,0,2.3389e-08,-1.299e-07,-2.3436e-08,242,0,0
1.2,-0.3,0.9,0.3,0,1.4383e-08,-1.4888e-07,-1.4411e-08,243,0,0
1.2,-0.3,0.9,0.5,0,1.4393e-08,-1.3935e-07,-2.3458e-08,244,0,0
1.2,-0.5,0.9,0.1,0,2.3527e-08,-1.4358e-07,-4.9247e-09,245,0,0
1.2,-0.3,0.9,0.1,0,1.4452e-08,-1.5319e-07,-4.9018e-09,246,0,0
1.2,-0.5,0.9,-0.1,0,2.3532e-08,-1.4358e-07,4.8898e-09,247,0,0
1.2,-0.3,0.9,-0.1,0,1.4456e-08,-1.5318e-07,4.88e-09,248,0,0
1.2,-0.5,0.9,-0.3,0,2.3447e-08,-1.3937e-07,1.4398e-08,249,0,0
1.2,-0.3,0.9,-0.3,0,1.44e-08,-1.4889e-07,1.4385e-08,250,0,0
1.2,-0.5,0.9,-0.5,0,2.3422e-08,-1.2992e-07,2.34e-08,251,0,0
1.2,-0.3,0.9,-0.5,0,1.4421e-08,-1.3937e-07,2.3432e-08,252,0,0
1.2,-0.5,1.1,0.3,0,3.5689e-08,-1.0554e-07,-2.225e-08,253,0,0
1.2,-0.5,1.1,0.5,0,3.5571e-08,-9.7159e-08,-3.5614e-08,254,0,0
1.2,-0.3,1.1,0.3,0,2.2194e-08,-1.1407e-07,-2.2222e-08,255,0,0
1.2,-0.3,1.1,0.5,0,2.2208e-08,-1.0554e-07,-3.5718e-08,256,0,0
1.2,-0.5,1.1,0.1,0,3.6158e-08,-1.0854e-07,-7.6493e-09,257,0,0
1.2,-0.3,1.1,0.1,0,2.2466e-08,-1.1723e-07,-7.5768e-09,258,0,0
1.2,-0.5,1.1,-0.1,0,3.6164e-08,-1.0854e-07,7.6078e-09,259,0,0
1.2,-0.3,1.1,-0.1,0,2.2472e-08,-1.1723e-07,7.5469e-09,260,0,0
1.2,-0.5,1.1,-0.3,0,3.5708e-08,-1.0555e-07,2.2207e-08,261,0,0
1.2,-0.3,1.1,-0.3,0,2.2211e-08,-1.1408e-07,2.2192e-08,262,0,0
1.2,-0.5,1.1,-0.5,0,3.5601e-08,-9.7169e-08,3.5572e-08,263,0,0
