Time,"Points:0","Points:1","Points:2","ids","temperature"
70,-0.5,0.2,0,509,894.68
70,-0.47,0.2,0,507,893.88
70,-0.47,0.23333,0,2113,893.88
70,-0.5,0.23333,0,2114,894.44
70,-0.44,0.2,0,505,893.24
70,-0.44,0.23333,0,2115,893.25
70,-0.41,0.2,0,503,892.61
70,-0.41,0.23333,0,2116,892.62
70,-0.38,0.2,0,501,891.99
70,-0.38,0.23333,0,2117,892
70,-0.35,0.2,0,499,891.37
70,-0.35,0.23333,0,2118,891.39
70,-0.32,0.2,0,497,890.77
70,-0.32,0.23333,0,2119,890.79
70,-0.29,0.2,0,495,890.19
70,-0.29,0.23333,0,2120,890.2
70,-0.26,0.2,0,493,889.61
70,-0.26,0.23333,0,2121,889.62
70,-0.23,0.2,0,491,889.05
70,-0.23,0.23333,0,2122,889.06
70,-0.2,0.2,0,489,888.49
70,-0.2,0.23333,0,2123,888.51
70,-0.17,0.2,0,487,887.96
70,-0.17,0.23333,0,2124,887.97
70,-0.14,0.2,0,485,887.43
70,-0.14,0.23333,0,2125,887.44
70,-0.11,0.2,0,483,886.91
70,-0.11,0.23333,0,2126,886.93
70,-0.08,0.2,0,481,886.41
70,-0.08,0.23333,0,2127,886.42
70,-0.05,0.2,0,479,885.92
70,-0.05,0.23333,0,2128,885.93
70,-0.02,0.2,0,477,885.44
70,-0.02,0.23333,0,2129,885.45
70,0.01,0.2,0,475,884.97
70,0.01,0.23333,0,2130,884.99
70,0.04,0.2,0,473,884.52
70,0.04,0.23333,0,2131,884.53
70,0.07,0.2,0,471,884.08
70,0.07,0.23333,0,2132,884.09
70,0.1,0.2,0,469,883.65
70,0.1,0.23333,0,2133,883.66
70,0.13,0.2,0,467,883.23
70,0.13,0.23333,0,2134,883.24
70,0.16,0.2,0,465,882.83
70,0.16,0.23333,0,2135,882.84
70,0.19,0.2,0,463,882.43
70,0.19,0.23333,0,2136,882.45
70,0.22,0.2,0,461,882.05
70,0.22,0.23333,0,2137,882.07
70,0.25,0.2,0,459,881.69
70,0.25,0.23333,0,2138,881.7
70,0.28,0.2,0,457,881.33
70,0.28,0.23333,0,2139,881.35
70,0.31,0.2,0,455,880.99
70,0.31,0.23333,0,2140,881.01
70,0.34,0.2,0,453,880.66
70,0.34,0.23333,0,2141,880.68
70,0.37,0.2,0,451,880.34
70,0.37,0.23333,0,2142,880.36
70,0.4,0.2,0,449,880.04
70,0.4,0.23333,0,2143,880.06
70,0.43,0.2,0,447,879.75
70,0.43,0.23333,0,2144,879.76
70,0.46,0.2,0,445,879.47
70,0.46,0.23333,0,2145,879.49
70,0.49,0.2,0,443,879.21
70,0.49,0.23333,0,2146,879.22
70,0.52,0.2,0,441,878.95
70,0.52,0.23333,0,2147,878.97
70,0.55,0.2,0,439,878.71
70,0.55,0.23333,0,2148,878.73
70,0.58,0.2,0,437,878.48
70,0.58,0.23333,0,2149,878.5
70,0.61,0.2,0,435,878.27
70,0.61,0.23333,0,2150,878.28
70,0.64,0.2,0,433,878.07
70,0.64,0.23333,0,2151,878.08
70,0.67,0.2,0,431,877.88
70,0.67,0.23333,0,2152,877.89
70,0.7,0.2,0,429,877.7
70,0.7,0.23333,0,2153,877.72
70,0.73,0.2,0,427,877.54
70,0.73,0.23333,0,2154,877.55
70,0.76,0.2,0,425,877.39
70,0.76,0.23333,0,2155,877.4
70,0.79,0.2,0,423,877.25
70,0.79,0.23333,0,2156,877.26
70,0.82,0.2,0,421,877.12
70,0.82,0.23333,0,2157,877.14
70,0.85,0.2,0,419,877.01
70,0.85,0.23333,0,2158,877.03
70,0.88,0.2,0,417,876.91
70,0.88,0.23333,0,2159,876.93
70,0.91,0.2,0,415,876.83
70,0.91,0.23333,0,2160,876.84
70,0.94,0.2,0,413,876.75
70,0.94,0.23333,0,2161,876.77
70,0.97,0.2,0,410,876.69
70,0.97,0.23333,0,2162,876.71
70,1,0.2,0,409,876.63
70,1,0.23333,0,1942,876.67
70,-0.47,0.26667,0,2163,893.88
70,-0.5,0.26667,0,2164,894.44
70,-0.44,0.26667,0,2165,893.25
70,-0.41,0.26667,0,2166,892.62
70,-0.38,0.26667,0,2167,892
70,-0.35,0.26667,0,2168,891.39
70,-0.32,0.26667,0,2169,890.79
70,-0.29,0.26667,0,2170,890.2
70,-0.26,0.26667,0,2171,889.62
70,-0.23,0.26667,0,2172,889.06
70,-0.2,0.26667,0,2173,888.51
70,-0.17,0.26667,0,2174,887.97
70,-0.14,0.26667,0,2175,887.44
70,-0.11,0.26667,0,2176,886.93
70,-0.08,0.26667,0,2177,886.42
70,-0.05,0.26667,0,2178,885.93
70,-0.02,0.26667,0,2179,885.45
70,0.01,0.26667,0,2180,884.99
70,0.04,0.26667,0,2181,884.53
70,0.07,0.26667,0,2182,884.09
70,0.1,0.26667,0,2183,883.66
70,0.13,0.26667,0,2184,883.24
70,0.16,0.26667,0,2185,882.84
70,0.19,0.26667,0,2186,882.45
70,0.22,0.26667,0,2187,882.07
70,0.25,0.26667,0,2188,881.7
70,0.28,0.26667,0,2189,881.35
70,0.31,0.26667,0,2190,881.01
70,0.34,0.26667,0,2191,880.68
70,0.37,0.26667,0,2192,880.36
70,0.4,0.26667,0,2193,880.06
70,0.43,0.26667,0,2194,879.76
70,0.46,0.26667,0,2195,879.49
70,0.49,0.26667,0,2196,879.22
70,0.52,0.26667,0,2197,878.97
70,0.55,0.26667,0,2198,878.73
70,0.58,0.26667,0,2199,878.5
70,0.61,0.26667,0,2200,878.28
