Time,"Points:0","Points:1","Points:2","contact_pressure","disp:0","disp:1","disp:2","ids","nodal_area_dummy_name","penetration"
2.6,-0.5,-0.5,0.5,0,0,0,0,1,0,0
2.6,-0.5,-0.5,0.3,0,0,0,0,2,0,0
2.6,-0.5,-0.3,0.3,0,-4.1651e-08,-5.7992e-08,1.853e-08,3,0,0
2.6,-0.5,-0.3,0.5,0,-4.069e-08,-6.639e-08,4.0693e-08,4,0,0
2.6,-0.3,-0.5,0.5,0,0,0,0,5,0,0
2.6,-0.3,-0.5,0.3,0,0,0,0,6,0,0
2.6,-0.3,-0.3,0.3,0,-1.8428e-08,-4.9231e-08,1.8429e-08,7,0,0
2.6,-0.3,-0.3,0.5,0,-1.8527e-08,-5.7994e-08,4.1653e-08,8,0,0
2.6,-0.5,-0.5,0.1,0,0,0,0,9,0,0
2.6,-0.5,-0.3,0.1,0,-4.3598e-08,-5.9163e-08,5.6965e-09,10,0,0
2.6,-0.3,-0.5,0.1,0,0,0,0,11,0,0
2.6,-0.3,-0.3,0.1,0,-1.9483e-08,-5.007e-08,5.4221e-09,12,0,0
2.6,-0.5,-0.5,-0.1,0,0,0,0,13,0,0
2.6,-0.5,-0.3,-0.1,0,-4.3598e-08,-5.9163e-08,-5.6928e-09,14,0,0
2.6,-0.3,-0.5,-0.1,0,0,0,0,15,0,0
2.6,-0.3,-0.3,-0.1,0,-1.9483e-08,-5.007e-08,-5.4193e-09,16,0,0
2.6,-0.5,-0.5,-0.3,0,0,0,0,17,0,0
2.6,-0.5,-0.3,-0.3,0,-4.1651e-08,-5.7994e-08,-1.8527e-08,18,0,0
2.6,-0.3,-0.5,-0.3,0,0,0,0,19,0,0
2.6,-0.3,-0.3,-0.3,0,-1.8428e-08,-4.9232e-08,-1.8427e-08,20,0,0
2.6,-0.5,-0.5,-0.5,0,0,0,0,21,0,0
2.6,-0.5,-0.3,-0.5,0,-4.0691e-08,-6.639e-08,-4.069e-08,22,0,0
2.6,-0.3,-0.5,-0.5,0,0,0,0,23,0,0
2.6,-0.3,-0.3,-0.5,0,-1.8528e-08,-5.7993e-08,-4.165e-08,24,0,0
2.6,-0.5,-0.1,0.3,0,-3.5228e-08,-1.0415e-07,2.3758e-08,25,0,0
2.6,-0.5,-0.1,0.5,0,-3.4186e-08,-1.0204e-07,3.4194e-08,26,0,0
2.6,-0.3,-0.1,0.3,0,-2.3615e-08,-1.0654e-07,2.362e-08,27,0,0
2.6,-0.3,-0.1,0.5,0,-2.375e-08,-1.0416e-07,3.5233e-08,28,0,0
2.6,-0.5,-0.1,0.1,0,-3.8164e-08,-1.0255e-07,7.6522e-09,29,0,0
2.6,-0.3,-0.1,0.1,0,-2.4873e-08,-1.0502e-07,7.2611e-09,30,0,0
2.6,-0.5,-0.1,-0.1,0,-3.8165e-08,-1.0255e-07,-7.6455e-09,31,0,0
2.6,-0.3,-0.1,-0.1,0,-2.4874e-08,-1.0502e-07,-7.2558e-09,32,0,0
2.6,-0.5,-0.1,-0.3,0,-3.523e-08,-1.0416e-07,-2.3751e-08,33,0,0
2.6,-0.3,-0.1,-0.3,0,-2.3617e-08,-1.0654e-07,-2.3615e-08,34,0,0
2.6,-0.5,-0.1,-0.5,0,-3.4189e-08,-1.0204e-07,-3.4187e-08,35,0,0
2.6,-0.3,-0.1,-0.5,0,-2.3753e-08,-1.0416e-07,-3.5227e-08,36,0,0
2.6,-0.5,0.1,0.3,0,-2.6646e-08,-1.3643e-07,1.677e-08,37,0,0
2.6,-0.5,0.1,0.5,0,-2.6664e-08,-1.2933e-07,2.6681e-08,38,0,0
2.6,-0.3,0.1,0.3,0,-1.6793e-08,-1.4387e-07,1.6801e-08,39,0,0
2.6,-0.3,0.1,0.5,0,-1.6758e-08,-1.3643e-07,2.6654e-08,40,0,0
2.6,-0.5,0.1,0.1,0,-2.7392e-08,-1.3796e-07,6.2384e-09,41,0,0
2.6,-0.3,0.1,0.1,0,-1.7378e-08,-1.4574e-07,6.136e-09,42,0,0
2.6,-0.5,0.1,-0.1,0,-2.7393e-08,-1.3796e-07,-6.23e-09,43,0,0
2.6,-0.3,0.1,-0.1,0,-1.7378e-08,-1.4574e-07,-6.1315e-09,44,0,0
2.6,-0.5,0.1,-0.3,0,-2.665e-08,-1.3643e-07,-1.676e-08,45,0,0
2.6,-0.3,0.1,-0.3,0,-1.6797e-08,-1.4387e-07,-1.6792e-08,46,0,0
2.6,-0.5,0.1,-0.5,0,-2.6674e-08,-1.2934e-07,-2.667e-08,47,0,0
2.6,-0.3,0.1,-0.5,0,-1.6763e-08,-1.3643e-07,-2.6645e-08,48,0,0
2.6,-0.5,0.3,0.3,0,-1.3995e-08,-1.5759e-07,9.2438e-09,49,0,0
2.6,-0.5,0.3,0.5,0,-1.3807e-08,-1.4856e-07,1.3835e-08,50,0,0
2.6,-0.3,0.3,0.3,0,-9.166e-09,-1.6673e-07,9.1611e-09,51,0,0
2.6,-0.3,0.3,0.5,0,-9.2089e-09,-1.5757e-07,1.399e-08,52,0,0
2.6,-0.5,0.3,0.1,0,-1.4222e-08,-1.6117e-07,3.1521e-09,53,0,0
2.6,-0.3,0.3,0.1,0,-9.2625e-09,-1.7048e-07,3.1094e-09,54,0,0
