Time,"Points:0","Points:1","Points:2","ids","temperature"
730,-0.5,0.2,0,509,899.33
730,-0.47,0.2,0,507,899.22
730,-0.47,0.23333,0,2113,899.22
730,-0.5,0.23333,0,2114,899.3
730,-0.44,0.2,0,505,899.13
730,-0.44,0.23333,0,2115,899.13
730,-0.41,0.2,0,503,899.05
730,-0.41,0.23333,0,2116,899.05
730,-0.38,0.2,0,501,898.96
730,-0.38,0.23333,0,2117,898.96
730,-0.35,0.2,0,499,898.88
730,-0.35,0.23333,0,2118,898.88
730,-0.32,0.2,0,497,898.79
730,-0.32,0.23333,0,2119,898.79
730,-0.29,0.2,0,495,898.71
730,-0.29,0.23333,0,2120,898.71
730,-0.26,0.2,0,493,898.63
730,-0.26,0.23333,0,2121,898.63
730,-0.23,0.2,0,491,898.55
730,-0.23,0.23333,0,2122,898.55
730,-0.2,0.2,0,489,898.47
730,-0.2,0.23333,0,2123,898.47
730,-0.17,0.2,0,487,898.39
730,-0.17,0.23333,0,2124,898.39
730,-0.14,0.2,0,485,898.31
730,-0.14,0.23333,0,2125,898.31
730,-0.11,0.2,0,483,898.23
730,-0.11,0.23333,0,2126,898.23
730,-0.08,0.2,0,481,898.15
730,-0.08,0.23333,0,2127,898.15
730,-0.05,0.2,0,479,898.08
730,-0.05,0.23333,0,2128,898.08
730,-0.02,0.2,0,477,898
730,-0.02,0.23333,0,2129,898.01
730,0.01,0.2,0,475,897.93
730,0.01,0.23333,0,2130,897.93
730,0.04,0.2,0,473,897.86
730,0.04,0.23333,0,2131,897.86
730,0.07,0.2,0,471,897.79
730,0.07,0.23333,0,2132,897.79
730,0.1,0.2,0,469,897.72
730,0.1,0.23333,0,2133,897.72
730,0.13,0.2,0,467,897.65
730,0.13,0.23333,0,2134,897.66
730,0.16,0.2,0,465,897.59
730,0.16,0.23333,0,2135,897.59
730,0.19,0.2,0,463,897.52
730,0.19,0.23333,0,2136,897.53
730,0.22,0.2,0,461,897.46
730,0.22,0.23333,0,2137,897.46
730,0.25,0.2,0,459,897.4
730,0.25,0.23333,0,2138,897.4
730,0.28,0.2,0,457,897.34
730,0.28,0.23333,0,2139,897.34
730,0.31,0.2,0,455,897.28
730,0.31,0.23333,0,2140,897.28
730,0.34,0.2,0,453,897.22
730,0.34,0.23333,0,2141,897.22
730,0.37,0.2,0,451,897.17
730,0.37,0.23333,0,2142,897.17
730,0.4,0.2,0,449,897.11
730,0.4,0.23333,0,2143,897.11
730,0.43,0.2,0,447,897.06
730,0.43,0.23333,0,2144,897.06
730,0.46,0.2,0,445,897.01
730,0.46,0.23333,0,2145,897.01
730,0.49,0.2,0,443,896.95
730,0.49,0.23333,0,2146,896.96
730,0.52,0.2,0,441,896.91
730,0.52,0.23333,0,2147,896.91
730,0.55,0.2,0,439,896.86
730,0.55,0.23333,0,2148,896.86
730,0.58,0.2,0,437,896.81
730,0.58,0.23333,0,2149,896.81
730,0.61,0.2,0,435,896.77
730,0.61,0.23333,0,2150,896.77
730,0.64,0.2,0,433,896.72
730,0.64,0.23333,0,2151,896.72
730,0.67,0.2,0,431,896.68
730,0.67,0.23333,0,2152,896.68
730,0.7,0.2,0,429,896.64
730,0.7,0.23333,0,2153,896.64
730,0.73,0.2,0,427,896.6
730,0.73,0.23333,0,2154,896.6
730,0.76,0.2,0,425,896.56
730,0.76,0.23333,0,2155,896.57
730,0.79,0.2,0,423,896.53
730,0.79,0.23333,0,2156,896.53
730,0.82,0.2,0,421,896.49
730,0.82,0.23333,0,2157,896.5
730,0.85,0.2,0,419,896.46
730,0.85,0.23333,0,2158,896.47
730,0.88,0.2,0,417,896.43
730,0.88,0.23333,0,2159,896.44
730,0.91,0.2,0,415,896.4
730,0.91,0.23333,0,2160,896.41
730,0.94,0.2,0,413,896.38
730,0.94,0.23333,0,2161,896.38
730,0.97,0.2,0,410,896.36
730,0.97,0.23333,0,2162,896.36
730,1,0.2,0,409,896.33
730,1,0.23333,0,1942,896.35
730,-0.47,0.26667,0,2163,899.22
730,-0.5,0.26667,0,2164,899.3
730,-0.44,0.26667,0,2165,899.13
730,-0.41,0.26667,0,2166,899.05
730,-0.38,0.26667,0,2167,898.96
730,-0.35,0.26667,0,2168,898.88
730,-0.32,0.26667,0,2169,898.79
730,-0.29,0.26667,0,2170,898.71
730,-0.26,0.26667,0,2171,898.63
730,-0.23,0.26667,0,2172,898.55
730,-0.2,0.26667,0,2173,898.47
730,-0.17,0.26667,0,2174,898.39
730,-0.14,0.26667,0,2175,898.31
730,-0.11,0.26667,0,2176,898.23
730,-0.08,0.26667,0,2177,898.15
730,-0.05,0.26667,0,2178,898.08
730,-0.02,0.26667,0,2179,898.01
730,0.01,0.26667,0,2180,897.93
730,0.04,0.26667,0,2181,897.86
730,0.07,0.26667,0,2182,897.79
730,0.1,0.26667,0,2183,897.72
730,0.13,0.26667,0,2184,897.66
730,0.16,0.26667,0,2185,897.59
730,0.19,0.26667,0,2186,897.53
730,0.22,0.26667,0,2187,897.46
730,0.25,0.26667,0,2188,897.4
730,0.28,0.26667,0,2189,897.34
730,0.31,0.26667,0,2190,897.28
730,0.34,0.26667,0,2191,897.22
730,0.37,0.26667,0,2192,897.17
730,0.4,0.26667,0,2193,897.11
730,0.43,0.26667,0,2194,897.06
730,0.46,0.26667,0,2195,897.01
730,0.49,0.26667,0,2196,896.96
730,0.52,0.26667,0,2197,896.91
730,0.55,0.26667,0,2198,896.86
730,0.58,0.26667,0,2199,896.81
730,0.61,0.26667,0,2200,896.77
730,0.64,0.26667,0,2201,896.72
730,0.67,0.26667,0,2202,896.68
730,0.7,0.26667,0,2203,896.64
730,0.73,0.26667,0,2204,896.6
730,0.76,0.26667,0,2205,896.57
730,0.79,0.26667,0,2206,896.53
730,0.82,0.26667,0,2207,896.5
730,0.85,0.26667,0,2208,896.47
730,0.88,0.26667,0,2209,896.44
730,0.91,0.26667,0,2210,896.41
730,0.94,0.26667,0,2211,896.38
730,0.97,0.26667,0,2212,896.36
730,1,0.26667,0,1960,896.35
730,-0.47,0.3,0,407,899.22
730,-0.5,0.3,0,408,899.33
730,-0.44,0.3,0,406,899.13
730,-0.41,0.3,0,405,899.05
730,-0.38,0.3,0,404,898.96
730,-0.35,0.3,0,403,898.88
730,-0.32,0.3,0,402,898.79
730,-0.29,0.3,0,401,898.71
730,-0.26,0.3,0,400,898.63
730,-0.23,0.3,0,399,898.55
730,-0.2,0.3,0,398,898.47
730,-0.17,0.3,0,397,898.39
730,-0.14,0.3,0,396,898.31
730,-0.11,0.3,0,395,898.23
730,-0.08,0.3,0,394,898.15
730,-0.05,0.3,0,393,898.08
730,-0.02,0.3,0,392,898
730,0.01,0.3,0,391,897.93
730,0.04,0.3,0,390,897.86
730,0.07,0.3,0,389,897.79
730,0.1,0.3,0,388,897.72
730,0.13,0.3,0,387,897.65
730,0.16,0.3,0,386,897.59
730,0.19,0.3,0,385,897.52
730,0.22,0.3,0,384,897.46
730,0.25,0.3,0,383,897.4
730,0.28,0.3,0,382,897.34
730,0.31,0.3,0,381,897.28
730,0.34,0.3,0,380,897.22
730,0.37,0.3,0,379,897.17
730,0.4,0.3,0,378,897.11
730,0.43,0.3,0,377,897.06
730,0.46,0.3,0,376,897.01
730,0.49,0.3,0,375,896.95
730,0.52,0.3,0,374,896.91
730,0.55,0.3,0,373,896.86
730,0.58,0.3,0,372,896.81
730,0.61,0.3,0,371,896.77
730,0.64,0.3,0,370,896.72
730,0.67,0.3,0,369,896.68
730,0.7,0.3,0,368,896.64
730,0.73,0.3,0,367,896.6
730,0.76,0.3,0,366,896.56
730,0.79,0.3,0,365,896.53
730,0.82,0.3,0,364,896.49
730,0.85,0.3,0,363,896.46
730,0.88,0.3,0,362,896.43
730,0.91,0.3,0,361,896.4
730,0.94,0.3,0,360,896.38
730,0.97,0.3,0,358,896.36
730,1,0.3,0,359,896.33
730,-0.5,-0.3,0,1223,899.33
730,-0.47,-0.3,0,1221,899.22
730,-0.47,-0.26667,0,2213,899.22
730,-0.5,-0.26667,0,2214,899.3
730,-0.44,-0.3,0,1219,899.13
730,-0.44,-0.26667,0,2215,899.13
730,-0.41,-0.3,0,1217,899.05
730,-0.41,-0.26667,0,2216,899.05
730,-0.38,-0.3,0,1215,898.96
730,-0.38,-0.26667,0,2217,898.96
730,-0.35,-0.3,0,1213,898.88
730,-0.35,-0.26667,0,2218,898.88
730,-0.32,-0.3,0,1211,898.79
730,-0.32,-0.26667,0,2219,898.79
730,-0.29,-0.3,0,1209,898.71
730,-0.29,-0.26667,0,2220,898.71
730,-0.26,-0.3,0,1207,898.63
730,-0.26,-0.26667,0,2221,898.63
730,-0.23,-0.3,0,1205,898.55
730,-0.23,-0.26667,0,2222,898.55
730,-0.2,-0.3,0,1203,898.47
730,-0.2,-0.26667,0,2223,898.47
730,-0.17,-0.3,0,1201,898.39
730,-0.17,-0.26667,0,2224,898.39
730,-0.14,-0.3,0,1199,898.31
730,-0.14,-0.26667,0,2225,898.31
730,-0.11,-0.3,0,1197,898.23
730,-0.11,-0.26667,0,2226,898.23
730,-0.08,-0.3,0,1195,898.15
730,-0.08,-0.26667,0,2227,898.15
730,-0.05,-0.3,0,1193,898.08
730,-0.05,-0.26667,0,2228,898.08
730,-0.02,-0.3,0,1191,898
730,-0.02,-0.26667,0,2229,898.01
730,0.01,-0.3,0,1189,897.93
730,0.01,-0.26667,0,2230,897.93
730,0.04,-0.3,0,1187,897.86
730,0.04,-0.26667,0,2231,897.86
730,0.07,-0.3,0,1185,897.79
730,0.07,-0.26667,0,2232,897.79
730,0.1,-0.3,0,1183,897.72
730,0.1,-0.26667,0,2233,897.72
730,0.13,-0.3,0,1181,897.65
730,0.13,-0.26667,0,2234,897.66
730,0.16,-0.3,0,1179,897.59
730,0.16,-0.26667,0,2235,897.59
730,0.19,-0.3,0,1177,897.52
730,0.19,-0.26667,0,2236,897.53
730,0.22,-0.3,0,1175,897.46
730,0.22,-0.26667,0,2237,897.46
730,0.25,-0.3,0,1173,897.4
730,0.25,-0.26667,0,2238,897.4
730,0.28,-0.3,0,1171,897.34
730,0.28,-0.26667,0,2239,897.34
730,0.31,-0.3,0,1169,897.28
730,0.31,-0.26667,0,2240,897.28
730,0.34,-0.3,0,1167,897.22
730,0.34,-0.26667,0,2241,897.22
730,0.37,-0.3,0,1165,897.17
730,0.37,-0.26667,0,2242,897.17
730,0.4,-0.3,0,1163,897.11
730,0.4,-0.26667,0,2243,897.11
730,0.43,-0.3,0,1161,897.06
730,0.43,-0.26667,0,2244,897.06
730,0.46,-0.3,0,1159,897.01
730,0.46,-0.26667,0,2245,897.01
730,0.49,-0.3,0,1157,896.95
730,0.49,-0.26667,0,2246,896.96
730,0.52,-0.3,0,1155,896.91
730,0.52,-0.26667,0,2247,896.91
730,0.55,-0.3,0,1153,896.86
730,0.55,-0.26667,0,2248,896.86
730,0.58,-0.3,0,1151,896.81
730,0.58,-0.26667,0,2249,896.81
730,0.61,-0.3,0,1149,896.77
730,0.61,-0.26667,0,2250,896.77
730,0.64,-0.3,0,1147,896.72
730,0.64,-0.26667,0,2251,896.72
730,0.67,-0.3,0,1145,896.68
730,0.67,-0.26667,0,2252,896.68
730,0.7,-0.3,0,1143,896.64
730,0.7,-0.26667,0,2253,896.64
730,0.73,-0.3,0,1141,896.6
730,0.73,-0.26667,0,2254,896.6
730,0.76,-0.3,0,1139,896.56
730,0.76,-0.26667,0,2255,896.57
730,0.79,-0.3,0,1137,896.53
730,0.79,-0.26667,0,2256,896.53
730,0.82,-0.3,0,1135,896.49
730,0.82,-0.26667,0,2257,896.5
730,0.85,-0.3,0,1133,896.46
730,0.85,-0.26667,0,2258,896.47
730,0.88,-0.3,0,1131,896.43
730,0.88,-0.26667,0,2259,896.44
730,0.91,-0.3,0,1129,896.4
730,0.91,-0.26667,0,2260,896.41
730,0.94,-0.3,0,1127,896.38
730,0.94,-0.26667,0,2261,896.38
730,0.97,-0.3,0,1124,896.36
730,0.97,-0.26667,0,2262,896.36
730,1,-0.3,0,1123,896.33
730,1,-0.26667,0,1668,896.35
730,-0.47,-0.23333,0,2263,899.22
730,-0.5,-0.23333,0,2264,899.3
730,-0.44,-0.23333,0,2265,899.13
730,-0.41,-0.23333,0,2266,899.05
730,-0.38,-0.23333,0,2267,898.96
730,-0.35,-0.23333,0,2268,898.88
730,-0.32,-0.23333,0,2269,898.79
730,-0.29,-0.23333,0,2270,898.71
730,-0.26,-0.23333,0,2271,898.63
730,-0.23,-0.23333,0,2272,898.55
730,-0.2,-0.23333,0,2273,898.47
730,-0.17,-0.23333,0,2274,898.39
730,-0.14,-0.23333,0,2275,898.31
730,-0.11,-0.23333,0,2276,898.23
730,-0.08,-0.23333,0,2277,898.15
730,-0.05,-0.23333,0,2278,898.08
730,-0.02,-0.23333,0,2279,898.01
730,0.01,-0.23333,0,2280,897.93
730,0.04,-0.23333,0,2281,897.86
730,0.07,-0.23333,0,2282,897.79
730,0.1,-0.23333,0,2283,897.72
730,0.13,-0.23333,0,2284,897.66
730,0.16,-0.23333,0,2285,897.59
730,0.19,-0.23333,0,2286,897.53
730,0.22,-0.23333,0,2287,897.46
730,0.25,-0.23333,0,2288,897.4
730,0.28,-0.23333,0,2289,897.34
730,0.31,-0.23333,0,2290,897.28
730,0.34,-0.23333,0,2291,897.22
730,0.37,-0.23333,0,2292,897.17
730,0.4,-0.23333,0,2293,897.11
730,0.43,-0.23333,0,2294,897.06
730,0.46,-0.23333,0,2295,897.01
730,0.49,-0.23333,0,2296,896.96
730,0.52,-0.23333,0,2297,896.91
730,0.55,-0.23333,0,2298,896.86
730,0.58,-0.23333,0,2299,896.81
730,0.61,-0.23333,0,2300,896.77
730,0.64,-0.23333,0,2301,896.72
730,0.67,-0.23333,0,2302,896.68
730,0.7,-0.23333,0,2303,896.64
730,0.73,-0.23333,0,2304,896.6
730,0.76,-0.23333,0,2305,896.57
730,0.79,-0.23333,0,2306,896.53
730,0.82,-0.23333,0,2307,896.5
730,0.85,-0.23333,0,2308,896.47
730,0.88,-0.23333,0,2309,896.44
730,0.91,-0.23333,0,2310,896.41
730,0.94,-0.23333,0,2311,896.38
730,0.97,-0.23333,0,2312,896.36
730,1,-0.23333,0,1686,896.35
730,-0.47,-0.2,0,1121,899.22
730,-0.5,-0.2,0,1122,899.33
730,-0.44,-0.2,0,1120,899.13
730,-0.41,-0.2,0,1119,899.05
730,-0.38,-0.2,0,1118,898.96
730,-0.35,-0.2,0,1117,898.88
730,-0.32,-0.2,0,1116,898.79
730,-0.29,-0.2,0,1115,898.71
730,-0.26,-0.2,0,1114,898.63
730,-0.23,-0.2,0,1113,898.55
730,-0.2,-0.2,0,1112,898.47
730,-0.17,-0.2,0,1111,898.39
730,-0.14,-0.2,0,1110,898.31
730,-0.11,-0.2,0,1109,898.23
730,-0.08,-0.2,0,1108,898.15
730,-0.05,-0.2,0,1107,898.08
730,-0.02,-0.2,0,1106,898
730,0.01,-0.2,0,1105,897.93
730,0.04,-0.2,0,1104,897.86
730,0.07,-0.2,0,1103,897.79
730,0.1,-0.2,0,1102,897.72
730,0.13,-0.2,0,1101,897.65
730,0.16,-0.2,0,1100,897.59
730,0.19,-0.2,0,1099,897.52
730,0.22,-0.2,0,1098,897.46
730,0.25,-0.2,0,1097,897.4
730,0.28,-0.2,0,1096,897.34
730,0.31,-0.2,0,1095,897.28
730,0.34,-0.2,0,1094,897.22
730,0.37,-0.2,0,1093,897.17
730,0.4,-0.2,0,1092,897.11
730,0.43,-0.2,0,1091,897.06
730,0.46,-0.2,0,1090,897.01
730,0.49,-0.2,0,1089,896.95
730,0.52,-0.2,0,1088,896.91
730,0.55,-0.2,0,1087,896.86
730,0.58,-0.2,0,1086,896.81
730,0.61,-0.2,0,1085,896.77
730,0.64,-0.2,0,1084,896.72
730,0.67,-0.2,0,1083,896.68
730,0.7,-0.2,0,1082,896.64
730,0.73,-0.2,0,1081,896.6
730,0.76,-0.2,0,1080,896.56
730,0.79,-0.2,0,1079,896.53
730,0.82,-0.2,0,1078,896.49
730,0.85,-0.2,0,1077,896.46
730,0.88,-0.2,0,1076,896.43
730,0.91,-0.2,0,1075,896.4
730,0.94,-0.2,0,1074,896.38
730,0.97,-0.2,0,1072,896.36
730,1,-0.2,0,1073,896.33
730,-0.5,0.5,0,101,899.47
730,-0.5303,0.5,0,2313,899.47
730,-0.5303,0.47138,0,2314,899.47
730,-0.5,0.47143,0,102,899.47
730,-0.56061,0.5,0,2315,899.48
730,-0.56061,0.47132,0,2316,899.48
730,-0.59091,0.5,0,2317,899.49
730,-0.59091,0.47127,0,2318,899.49
730,-0.62121,0.5,0,2319,899.5
730,-0.62121,0.47122,0,2320,899.5
